Ay;Dolar;Euro;Altın;Petrol;Beton;Demir;Fiyat;Son Güncelleme Tarihi;Konut Tipi;Mahalle; Net M2;Oda ; Salon Sayısı;Bulunduğu Kat;Bina Yaşı;Isınma Tipi;Eşya Durumu;Banyo Sayısı;Cephe;Kira Getirisi;Kullanım Durumu;Aidat;Yakıt Tipi
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.950.000 TL;12 12 2023;Daire;Cumhuriyet;85;2;1;3. Kat;5 Yaşında;Kombi;Eşyalı Değil;1;;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.800.000 TL;10 10 2023;Daire;Cumhuriyet;140;3;1;Ara Kat;25 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Batı;;;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.875.000 TL;26 12 2023;Daire;Mimar Sinan;125;3;1;En Üst Kat;9 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney, Batı;8.000 TL;Mülk Sahibi;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.850.000 TL;26 12 2023;Daire;Meşrutiyet;120;3;1;3. Kat;35 Yaşında;Isıtma Yok;Eşyalı Değil;1;;;Boş;30 TL;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.000.000 TL;26 12 2023;Daire;Cumhuriyet;90;2;1;2. Kat;22 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney, Doğu;;Kiracılı;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.600.000 TL;26 12 2023;Daire;Zeybek;84;2;1;5. Kat;15 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Doğu;;Kiracılı;250 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.500.000 TL;26 12 2023;Daire;Meşrutiyet;95;2;1;Yüksek Giriş;25 Yaşında;Klima;Eşyalı;1;Doğu, Batı;;Boş;;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.700.000 TL;26 12 2023;Daire;Meşrutiyet;50;1;1;3. Kat;7 Yaşında;Kombi;Eşyalı;1;Doğu, Batı;5.000 TL;Kiracılı;150 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.250.000 TL;26 12 2023;Daire;Meşrutiyet;130;3;1;Ara Kat;30 Yaşında;Klima;Eşyalı Değil;2;Güney;;;;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.800.000 TL;26 12 2023;Daire;Cumhuriyet;120;3;1;1. Kat;30 Yaşında;Soba;Eşyalı Değil;1;;;Kiracılı;;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.150.000 TL;12 12 2023;Daire;Zafer;175;4;1;4. Kat;23 Yaşında;Soba;Eşyalı Değil;1;Kuzey, Güney, Doğu, Batı;15.000 TL;Boş;80 TL;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.100.000 TL;26 12 2023;Daire;Meşrutiyet;85;2;1;Yüksek Giriş;25 Yaşında;Soba;Eşyalı Değil;1;Doğu, Batı;;Boş;;Kömür-Odun
